Name,Pclass,Survived,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
Mrs. Leopold (Mathilde Francoise Pede) Weisz,2,1,female,29,1,0,26
Mr. Samuel James Hayden Sobey,2,0,male,25,0,0,13
Mr. Emile Richard,2,0,male,23,0,0,15.0458
Miss. Helen Monypeny Newsom,1,1,female,19,0,2,26.2833
Mr. Jacques Heath Futrelle,1,0,male,37,1,0,53.1
Mr. Olaf Elon Osen,3,0,male,16,0,0,9.2167
Mr. Victor Giglio,1,0,male,24,0,0,79.2
Mrs. Joseph (Sultana) Boulos,3,0,female,40,0,2,15.2458
Miss. Anna Sofia Nysten,3,1,female,22,0,0,7.75
Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,3,1,female,24,1,0,15.85
Mr. Jeremiah Burke,3,0,male,19,0,0,6.75
Mr. Edgardo Samuel Andrew,2,0,male,18,0,0,11.5
Mr. Joseph Charles Nicholls,2,0,male,19,1,1,36.75
Mr. August Edvard Andersson,3,1,male,27,0,0,7.7958
Miss. Robina Maggie Ford,3,0,female,9,2,2,34.375
Mr. Michel Navratil,2,0,male,36.5,0,2,26
Rev. Thomas Roussel Davids Byles,2,0,male,42,0,0,13
Rev. Robert James Bateman,2,0,male,51,0,0,12.525
Mrs. Thomas (Edith Wearne) Pears,1,1,female,22,1,0,66.6
Mr. Alfonzo Meo,3,0,male,55.5,0,0,8.05
Mr. Austin Blyler van Billiard,3,0,male,40.5,0,2,14.5
Mr. Ole Martin Olsen,3,0,male,27,0,0,7.3125
Mr. Charles Duane Williams,1,0,male,51,0,1,61.3792
Miss. Katherine Gilnagh,3,1,female,16,0,0,7.7333
Mr. Harry Corn,3,0,male,30,0,0,8.05
Mr. Mile Smiljanic,3,0,male,37,0,0,8.6625
Master. Thomas Henry Sage,3,0,male,5,8,2,69.55
Mr. John Hatfield Cribb,3,0,male,44,0,1,16.1
Mrs. James (Elizabeth Inglis Milne) Watt,2,1,female,40,0,0,15.75
Mr. John Viktor Bengtsson,3,0,male,26,0,0,7.775
Mr. Jovo Calic,3,0,male,17,0,0,8.6625
Master. Eino Viljami Panula,3,0,male,1,4,1,39.6875
Master. Frank John William Goldsmith,3,1,male,9,0,2,20.525
Mrs. (Edith Martha Bowerman) Chibnall,1,1,female,48,0,1,55
Mrs. William (Anna Bernhardina Karlsson) Skoog,3,0,female,45,1,4,27.9
Mr. John D Baumann,1,0,male,60,0,0,25.925
Mr. Lee Ling,3,0,male,28,0,0,56.4958
Mr. Wyckoff Van der hoef,1,0,male,61,0,0,33.5
Master. Arthur Rice,3,0,male,4,4,1,29.125
Miss. Eleanor Ileen Johnson,3,1,female,1,1,1,11.1333
Mr. Antti Wilhelm Sivola,3,0,male,21,0,0,7.925
Mr. James Clinch Smith,1,0,male,56,0,0,30.6958
Mr. Klas Albin Klasen,3,0,male,18,1,1,7.8542
Master. Henry Forbes Lefebre,3,0,male,5,3,1,25.4667
Miss. Ann Elizabeth Isham,1,0,female,50,0,0,28.7125
Mr. Reginald Hale,2,0,male,30,0,0,13
Mr. Lionel Leonard,3,0,male,36,0,0,0
Miss. Constance Gladys Sage,3,0,female,8,8,2,69.55
Mr. Rene Pernot,2,0,male,39,0,0,15.05
Master. Clarence Gustaf Hugo Asplund,3,0,male,9,4,2,31.3875
Master. Richard F Becker,2,1,male,1,2,1,39
Miss. Luise Gretchen Kink-Heilmann,3,1,female,4,0,2,22.025
Mr. Hugh Roscoe Rood,1,0,male,39,0,0,50
Mrs. Thomas (Johanna Godfrey) O'Brien,3,1,female,26,1,0,15.5
Mr. Charles Hallace Romaine,1,1,male,45,0,0,26.55
Mr. John Bourke,3,0,male,40,1,1,15.5
Mr. Stjepan Turcin,3,0,male,36,0,0,7.8958
Mrs. (Rosa) Pinsky,2,1,female,32,0,0,13
Mr. William Carbines,2,0,male,19,0,0,13
Miss. Carla Christine Nielsine Andersen-Jensen,3,1,female,19,1,0,7.8542
Master. Michel M Navratil,2,1,male,3,1,1,26
Mrs. James Joseph (Margaret Tobin) Brown,1,1,female,44,0,0,27.7208
Miss. Elise Lurette,1,1,female,58,0,0,146.5208
Mr. Robert Mernagh,3,0,male,28,0,0,7.75
Mr. Karl Siegwart Andreas Olsen,3,0,male,42,0,1,8.4042
Miss. Margaret Madigan,3,1,female,21,0,0,7.75
Miss. Henriette Yrois,2,0,female,24,0,0,13
Mr. Nestor Cyriel Vande Walle,3,0,male,28,0,0,9.5
Mr. Frederick Sage,3,0,male,17,8,2,69.55
Mr. Jakob Alfred Johanson,3,0,male,34,0,0,6.4958
Mr. Gerious Youseff,3,0,male,45.5,0,0,7.225
Mr. Gurshon Cohen,3,1,male,18,0,0,8.05
Miss. Telma Matilda Strom,3,0,female,2,0,1,10.4625
Mr. Karl Alfred Backstrom,3,0,male,32,1,0,15.85
Mr. Nassef Cassem Albimona,3,1,male,26,0,0,18.7875
Miss. Helen Carr,3,1,female,16,0,0,7.75
Mr. Henry Blank,1,1,male,40,0,0,31
Mr. Ahmed Ali,3,0,male,24,0,0,7.05
Miss. Clear Annie Cameron,2,1,female,35,0,0,21
Mr. John Henry Perkin,3,0,male,22,0,0,7.25
Mr. Hans Kristensen Givard,2,0,male,30,0,0,13
Mr. Philip Kiernan,3,0,male,22,1,0,7.75
Miss. Madeleine Newell,1,1,female,31,1,0,113.275
Miss. Eliina Honkanen,3,1,female,27,0,0,7.925
Mr. Sidney Samuel Jacobsohn,2,0,male,42,1,0,27
Miss. Albina Bazzani,1,1,female,32,0,0,76.2917
Mr. Walter Harris,2,0,male,30,0,0,10.5
Mr. Victor Francis Sunderland,3,1,male,16,0,0,8.05
Mr. James H Bracken,2,0,male,27,0,0,13
Mr. George Henry Green,3,0,male,51,0,0,8.05
Mr. Christo Nenkoff,3,0,male,22,0,0,7.8958
Mr. Frederick Maxfield Hoyt,1,1,male,38,1,0,90
Mr. Karl Ivar Sven Berglund,3,0,male,22,0,0,9.35
Mr. William John Mellors,2,1,male,19,0,0,10.5
Mr. John Hall Lovell,3,0,male,20.5,0,0,7.25
Mr. Arne Jonas Fahlstrom,2,0,male,18,0,0,13
Miss. Mathilde Lefebre,3,0,female,12,3,1,25.4667
Mrs. Henry Birkhardt (Irene Wallach) Harris,1,1,female,35,1,0,83.475
Mr. Bengt Edvin Larsson,3,0,male,29,0,0,7.775
Mr. Ernst Adolf Sjostedt,2,0,male,59,0,0,13.5
Miss. Lillian Gertrud Asplund,3,1,female,5,4,2,31.3875
Mr. Robert William Norman Leyson,2,0,male,24,0,0,10.5
Miss. Alice Phoebe Harknett,3,0,female,21,0,0,7.55
Mr. Stephen Hold,2,0,male,44,1,0,26
Miss. Marjorie Collyer,2,1,female,8,0,2,26.25
Mr. Frederick William Pengelly,2,0,male,19,0,0,10.5
Mr. George Henry Hunt,2,0,male,33,0,0,12.275
Miss. Thamine Zabour,3,0,female,19,1,0,14.4542
Miss. Katherine Murphy,3,1,female,18,1,0,15.5
Mr. Reginald Charles Coleridge,2,0,male,29,0,0,10.5
Mr. Matti Alexanteri Maenpaa,3,0,male,22,0,0,7.125
Mr. Sleiman Attalah,3,0,male,30,0,0,7.225
Dr. William Edward Minahan,1,0,male,44,2,0,90
Miss. Agda Thorilda Viktoria Lindahl,3,0,female,25,0,0,7.775
Mrs. William (Anna) Hamalainen,2,1,female,24,0,2,14.5
Mr. Richard Leonard Beckwith,1,1,male,37,1,1,52.5542
Rev. Ernest Courtenay Carter,2,0,male,54,1,0,26
Mr. James George Reed,3,0,male,18,0,0,7.25
Mrs. Wilhelm (Elna Matilda Persson) Strom,3,0,female,29,1,1,10.4625
Mr. William Thomas Stead,1,0,male,62,0,0,26.55
Mr. William Arthur Lobb,3,0,male,30,1,0,16.1
Mrs. Viktor (Helena Wilhelmina) Rosblom,3,0,female,41,0,2,20.2125
Mrs. Darwis (Hanne Youssef Razi) Touma,3,1,female,29,0,2,15.2458
Mrs. Gertrude Maybelle Thorne,1,1,female,38,0,0,79.2
Miss. Gladys Cherry,1,1,female,30,0,0,86.5
Miss. Anna Ward,1,1,female,35,0,0,512.3292
Mrs. (Lutie Davis) Parrish,2,1,female,50,0,1,26
Master. Edvin Rojj Felix Asplund,3,1,male,3,4,2,31.3875
Mr. Emil Taussig,1,0,male,52,1,1,79.65
Mr. William Harrison,1,0,male,40,0,0,0
Miss. Delia Henry,3,0,female,21,0,0,7.75
Mr. David Reeves,2,0,male,36,0,0,10.5
Mr. Ernesti Arvid Panula,3,0,male,16,4,1,39.6875
Mr. Ernst Ulrik Persson,3,1,male,25,1,0,7.775
Mrs. William Thompson (Edith Junkins) Graham,1,1,female,58,0,1,153.4625
Miss. Amelia Bissette,1,1,female,35,0,0,135.6333
Mr. Alexander Cairns,1,0,male,28,0,0,31
Mr. William Henry Tornquist,3,1,male,25,0,0,0
Mrs. (Elizabeth Anne Maidment) Mellinger,2,1,female,41,0,1,19.5
Mr. Charles H Natsch,1,0,male,37,0,1,29.7
Miss. Hanora Healy,3,1,female,33,0,0,7.75
Miss. Kornelia Theodosia Andrews,1,1,female,63,1,0,77.9583
Miss. Augusta Charlotta Lindblom,3,0,female,45,0,0,7.75
Mr. Francis Parkes,2,0,male,21,0,0,0
Master. Eric Rice,3,0,male,7,4,1,29.125
Mrs. Stanton (Rosa Hunt) Abbott,3,1,female,35,1,1,20.25
Mr. Frank Duane,3,0,male,65,0,0,7.75
Mr. Nils Johan Goransson Olsson,3,0,male,28,0,0,7.8542
Mr. Alfons de Pelsmaeker,3,0,male,16,0,0,9.5
Mr. Edward Arthur Dorking,3,1,male,19,0,0,8.05
Mr. Richard William Smith,1,0,male,57,0,0,26
Mr. Ivan Stankovic,3,0,male,33,0,0,8.6625
Mr. Theodore de Mulder,3,1,male,30,0,0,9.5
Mr. Penko Naidenoff,3,0,male,22,0,0,7.8958
Mr. Masabumi Hosono,2,1,male,42,0,0,13
Miss. Kate Connolly,3,1,female,22,0,0,7.75
Miss. Ellen Barber,1,1,female,26,0,0,78.85
Mrs. Dickinson H (Helen Walton) Bishop,1,1,female,19,1,0,91.0792
Mr. Rene Jacques Levy,2,0,male,36,0,0,12.875
Miss. Aloisia Haas,3,0,female,24,0,0,8.85
Mr. Ivan Mineff,3,0,male,24,0,0,7.8958
Mr. Ervin G Lewy,1,0,male,30,0,0,27.7208
Mr. Mansour Hanna,3,0,male,23.5,0,0,7.2292
Miss. Helen Loraine Allison,1,0,female,2,1,2,151.55
Mr. Adolphe Saalfeld,1,1,male,47,0,0,30.5
Mrs. James (Helene DeLaudeniere Chaput) Baxter,1,1,female,50,0,1,247.5208
Miss. Anna Katherine Kelly,3,1,female,20,0,0,7.75
Mr. Bernard McCoy,3,1,male,24,2,0,23.25
Mr. William Cahoone Jr Johnson,3,0,male,19,0,0,0
Miss. Nora A Keane,2,1,female,46,0,0,12.35
Mr. Howard Hugh Williams,3,0,male,28,0,0,8.05
Master. Hudson Trevor Allison,1,1,male,0.92,1,2,151.55
Miss. Margaret Fleming,1,1,female,42,0,0,110.8833
Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,1,1,female,17,1,0,108.9
Mr. Samuel Abelson,2,0,male,30,1,0,24
Miss. Laura Mabel Francatelli,1,1,female,30,0,0,56.9292
Miss. Margaret Bechstein Hays,1,1,female,24,0,0,83.1583
Miss. Emily Borie Ryerson,1,1,female,18,2,2,262.375
Mrs. William (Anna Sylfven) Lahtinen,2,0,female,26,1,1,26
Mr. Ignjac Hendekovic,3,0,male,28,0,0,7.8958
Mr. Benjamin Hart,2,0,male,43,1,1,26.25
Miss. Helmina Josefina Nilsson,3,1,female,26,0,0,7.8542
Mrs. Sinai (Miriam Sternin) Kantor,2,1,female,24,1,0,26
Dr. Ernest Moraweck,2,0,male,54,0,0,14
Miss. Mary Natalie Wick,1,1,female,31,0,2,164.8667
Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,1,1,female,40,1,1,134.5
Mr. Samuel Dennis,3,0,male,22,0,0,7.25
Mr. Yoto Danoff,3,0,male,27,0,0,7.8958
Miss. Hilda Mary Slayter,2,1,female,30,0,0,12.35
Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,2,1,female,22,1,1,29
Mr. George John Jr Sage,3,0,male,20,8,2,69.55
Miss. Marie Grice Young,1,1,female,36,0,0,135.6333
Mr. Johan Hansen Nysveen,3,0,male,61,0,0,6.2375
Mrs. (Ada E Hall) Ball,2,1,female,36,0,0,13
Mrs. Frank John (Emily Alice Brown) Goldsmith,3,1,female,31,1,1,20.525
Miss. Jean Gertrude Hippach,1,1,female,16,0,1,57.9792
Miss. Agnes McCoy,3,1,female,28,2,0,23.25
Mr. Austen Partner,1,0,male,45.5,0,0,28.5
Mr. George Edward Graham,1,0,male,38,0,1,153.4625
Mr. Leo Edmondus Vander Planke,3,0,male,16,2,0,18
Mrs. Henry William (Clara Heinsheimer) Frauenthal,1,1,female,42,1,0,133.65
Mr. Mitto Denkoff,3,0,male,30,0,0,7.8958
Mr. Thomas Clinton Pears,1,0,male,29,1,0,66.6
Miss. Elizabeth Margaret Burns,1,1,female,41,0,0,134.5
Mr. Karl Edwart Dahl,3,1,male,45,0,0,8.05
Mr. Stephen Weart Blackwell,1,0,male,45,0,0,35.5
Master. Edmond Roger Navratil,2,1,male,2,1,1,26
Miss. Alice Elizabeth Fortune,1,1,female,24,3,2,263
Mr. Erik Gustaf Collander,2,0,male,28,0,0,13
Mr. Charles Frederick Waddington Sedgwick,2,0,male,25,0,0,13
Mr. Stanley Hubert Fox,2,0,male,36,0,0,13
Miss. Amelia Brown,2,1,female,24,0,0,13
Miss. Marion Elsie Smith,2,1,female,40,0,0,13
Mrs. Thomas Henry (Mary E Finck) Davison,3,1,female,34,1,0,16.1
Master. William Loch Coutts,3,1,male,3,1,1,15.9
Mr. Jovan Dimic,3,0,male,42,0,0,8.6625
Mr. Nils Martin Odahl,3,0,male,23,0,0,9.225
Mr. Fletcher Fellows Williams-Lambert,1,0,male,43,0,0,35
Mr. Tannous Elias,3,0,male,15,1,1,7.2292
Mr. Josef Arnold-Franchi,3,0,male,25,1,0,17.8
Mr. Wazli Yousif,3,0,male,23,0,0,7.225
Mr. Leo Peter Vanden Steen,3,0,male,28,0,0,9.5
Miss. Elsie Edith Bowerman,1,1,female,22,0,1,55
Miss. Annie Clemmer Funk,2,0,female,38,0,0,13
Miss. Mary McGovern,3,1,female,22,0,0,7.8792
Miss. Helen Mary Mockler,3,1,female,23,0,0,7.8792
Mr. Wilhelm Skoog,3,0,male,40,1,4,27.9
Mr. Sebastiano del Carlo,2,0,male,29,1,0,27.7208
Mrs. (Catherine David) Barbara,3,0,female,45,0,1,14.4542
Mr. Adola Asim,3,0,male,35,0,0,7.05
Mr. Thomas O'Brien,3,0,male,27,1,0,15.5
Mr. Mauritz Nils Martin Adahl,3,0,male,30,0,0,7.25
Mrs. Frank Manley (Anna Sophia Atkinson) Warren,1,1,female,60,1,0,75.25
Mrs. (Mantoura Boulos) Moussa,3,1,female,35,0,0,7.2292
Miss. Annie Jermyn,3,1,female,22,0,0,7.75
Mme. Leontine Pauline Aubart,1,1,female,24,0,0,69.3
Mr. George Achilles Harder,1,1,male,25,1,0,55.4417
Mr. Jakob Alfred Wiklund,3,0,male,18,1,0,6.4958
Mr. William Thomas Beavan,3,0,male,19,0,0,8.05
Mr. Sante Ringhini,1,0,male,22,0,0,135.6333
Miss. Stina Viola Palsson,3,0,female,3,3,1,21.075
Mrs. Edgar Joseph (Leila Saks) Meyer,1,1,female,25,1,0,82.1708
Miss. Aurora Adelia Landergren,3,1,female,22,0,0,7.25
Mr. Harry Elkins Widener,1,0,male,27,0,2,211.5
Mr. Tannous Betros,3,0,male,20,0,0,4.0125
Mr. Karl Gideon Gustafsson,3,0,male,19,0,0,7.775
Miss. Rosalie Bidois,1,1,female,42,0,0,227.525
Miss. Maria Nakid,3,1,female,1,0,2,15.7417
Mr. Juho Tikkanen,3,0,male,32,0,0,7.925
Mrs. Alexander Oskar (Mary Aline Towner) Holverson,1,1,female,35,1,0,52
Mr. Vasil Plotcharsky,3,0,male,27,0,0,7.8958
Mr. Charles Henry Davies,2,0,male,18,0,0,73.5
Master. Sidney Leonard Goodwin,3,0,male,1,5,2,46.9
Miss. Kate Buss,2,1,female,36,0,0,13
Mr. Matthew Sadlier,3,0,male,19,0,0,7.7292
Miss. Bertha Lehmann,2,1,female,17,0,0,12
Mr. William Ernest Carter,1,1,male,36,1,2,120
Mr. Carl Olof Jansson,3,1,male,21,0,0,7.7958
Mr. Johan Birger Gustafsson,3,0,male,28,2,0,7.925
Miss. Marjorie Newell,1,1,female,23,1,0,113.275
Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,3,1,female,24,0,2,16.7
Mr. Erik Johansson,3,0,male,22,0,0,7.7958
Miss. Elina Olsson,3,0,female,31,0,0,7.8542
Mr. Peter David McKane,2,0,male,46,0,0,26
Dr. Alfred Pain,2,0,male,23,0,0,10.5
Mrs. William H (Jessie L) Trout,2,1,female,28,0,0,12.65
Mr. Juha Niskanen,3,1,male,39,0,0,7.925
Mr. John Adams,3,0,male,26,0,0,8.05
Miss. Mari Aina Jussila,3,0,female,21,1,0,9.825
Mr. Pekka Pietari Hakkarainen,3,0,male,28,1,0,15.85
Miss. Marija Oreskovic,3,0,female,20,0,0,8.6625
Mr. Shadrach Gale,2,0,male,34,1,0,21
Mr. Carl/Charles Peter Widegren,3,0,male,51,0,0,7.75
Master. William Rowe Richards,2,1,male,3,1,1,18.75
Mr. Hans Martin Monsen Birkeland,3,0,male,21,0,0,7.775
Miss. Ida Lefebre,3,0,female,3,3,1,25.4667
Mr. Todor Sdycoff,3,0,male,42,0,0,7.8958
Mr. Henry Hart,3,0,male,27,0,0,6.8583
Miss. Daisy E Minahan,1,1,female,33,1,0,90
Mr. Alfred Fleming Cunningham,2,0,male,22,0,0,0
Mr. Johan Julian Sundman,3,1,male,44,0,0,7.925
Mrs. Thomas (Annie Louise Rowley) Meek,3,0,female,32,0,0,8.05
Mrs. James Vivian (Lulu Thorne Christian) Drew,2,1,female,34,1,1,32.5
Miss. Lyyli Karoliina Silven,2,1,female,18,0,2,13
Mr. William John Matthews,2,0,male,30,0,0,13
Miss. Catharina Van Impe,3,0,female,10,0,2,24.15
Mr. David Charters,3,0,male,21,0,0,7.7333
Mr. Leo Zimmerman,3,0,male,29,0,0,7.875
Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,3,0,female,28,1,1,14.4
Mr. Viktor Richard Rosblom,3,0,male,18,1,1,20.2125
Mr. Phillippe Wiseman,3,0,male,54,0,0,7.25
Mrs. Charles V (Ada Maria Winfield) Clarke,2,1,female,28,1,0,26
Miss. Kate Florence Phillips,2,1,female,19,0,0,26
Mr. James Flynn,3,0,male,28,0,0,7.75
Mr. Berk (Berk Trembisky) Pickard,3,1,male,32,0,0,8.05
Mr. Mauritz Hakan Bjornstrom-Steffansson,1,1,male,28,0,0,26.55
Mrs. Percival (Florence Kate White) Thorneycroft,3,1,female,33,1,0,16.1
