origin,mpg,cylinders,displacement,horsepower,weight,acceleration,year
usa,medium,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,high,70-73
europe,medium,4,low,low,light,medium,70-73
japan,medium,4,low,low,light,medium,70-73
japan,high,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,medium,70-73
usa,medium,4,low,low,light,high,70-73
japan,medium,4,low,low,light,medium,70-73
usa,medium,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,high,70-73
usa,low,4,low,low,light,high,70-73
usa,low,4,low,low,light,medium,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,medium,medium,heavy,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
japan,low,3,low,low,light,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,medium,medium,heavy,medium,70-73
usa,low,8,medium,medium,heavy,medium,70-73
usa,low,8,medium,medium,heavy,medium,70-73
europe,low,4,low,medium,regular,medium,70-73
europe,medium,4,low,low,light,medium,70-73
europe,low,4,low,low,regular,high,70-73
europe,medium,4,low,low,light,medium,70-73
usa,medium,4,low,low,light,medium,70-73
japan,medium,4,low,low,light,medium,70-73
japan,medium,4,low,low,light,medium,70-73
usa,medium,4,low,low,light,medium,70-73
japan,medium,4,low,low,light,medium,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,medium,medium,heavy,medium,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,medium,medium,heavy,medium,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,regular,low,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,medium,6,medium,low,regular,medium,70-73
europe,medium,4,low,low,light,high,70-73
usa,low,8,high,medium,heavy,medium,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,6,medium,low,regular,medium,70-73
japan,low,4,low,low,light,medium,70-73
usa,low,4,low,low,light,high,70-73
japan,medium,4,low,low,light,medium,70-73
japan,low,3,low,low,light,low,70-73
usa,low,4,low,low,light,medium,70-73
usa,low,6,low,low,light,medium,70-73
europe,medium,4,low,low,light,medium,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
europe,medium,4,low,low,light,high,70-73
europe,medium,4,low,low,light,medium,70-73
europe,low,4,low,low,light,medium,70-73
europe,low,4,low,medium,regular,medium,70-73
usa,low,8,medium,medium,regular,low,70-73
europe,medium,4,low,medium,light,medium,70-73
japan,low,6,low,medium,regular,low,70-73
usa,low,8,high,high,regular,low,70-73
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,high,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,high,74-77
usa,medium,4,low,low,light,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,medium,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,8,medium,medium,heavy,medium,74-77
usa,low,8,high,medium,heavy,medium,74-77
usa,low,8,medium,medium,heavy,low,74-77
usa,low,8,medium,medium,heavy,medium,74-77
usa,low,8,medium,medium,heavy,medium,74-77
europe,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,low,regular,high,74-77
usa,low,6,medium,low,regular,high,74-77
usa,low,8,high,high,heavy,low,74-77
usa,low,8,high,medium,heavy,medium,74-77
usa,low,8,medium,medium,heavy,medium,74-77
usa,low,8,high,medium,heavy,low,74-77
usa,low,6,medium,medium,regular,high,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,medium,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,medium,regular,medium,74-77
usa,low,8,medium,medium,regular,low,74-77
usa,low,8,medium,medium,regular,low,74-77
japan,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,low,74-77
europe,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,low,6,low,low,regular,medium,74-77
europe,medium,4,low,low,light,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
europe,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,regular,medium,74-77
europe,medium,4,low,low,regular,medium,74-77
europe,medium,4,low,medium,light,low,74-77
japan,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
usa,low,8,medium,medium,heavy,low,74-77
usa,low,8,medium,medium,heavy,low,74-77
usa,low,8,medium,medium,regular,medium,74-77
usa,low,8,high,medium,heavy,low,74-77
usa,medium,6,medium,low,regular,medium,74-77
usa,medium,6,medium,low,regular,medium,74-77
usa,medium,6,medium,low,regular,medium,74-77
usa,medium,6,medium,low,regular,medium,74-77
usa,medium,4,low,low,light,high,74-77
usa,medium,4,low,low,light,high,74-77
europe,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,low,regular,high,74-77
usa,low,6,medium,medium,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
europe,medium,4,low,low,light,low,74-77
japan,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
europe,low,4,low,low,regular,medium,74-77
usa,low,8,medium,medium,regular,low,74-77
europe,low,4,low,low,regular,high,74-77
japan,low,6,low,medium,regular,medium,74-77
europe,low,6,low,medium,regular,medium,74-77
usa,low,8,high,high,heavy,low,74-77
usa,low,8,high,medium,heavy,low,74-77
usa,low,8,medium,medium,regular,medium,74-77
usa,low,8,medium,medium,regular,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
europe,high,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,low,8,medium,medium,regular,low,74-77
usa,low,8,medium,medium,heavy,medium,74-77
usa,low,8,medium,medium,heavy,medium,74-77
usa,low,8,medium,medium,heavy,medium,74-77
usa,low,6,medium,medium,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,6,medium,low,regular,medium,74-77
usa,low,8,high,high,heavy,low,74-77
usa,low,8,high,high,heavy,low,74-77
usa,low,8,high,high,heavy,low,74-77
usa,low,8,high,medium,heavy,medium,74-77
europe,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
usa,medium,4,low,low,light,medium,74-77
japan,medium,4,low,low,light,medium,74-77
europe,medium,4,low,low,light,medium,74-77
japan,medium,6,low,low,regular,medium,74-77
europe,medium,4,low,medium,light,low,74-77
japan,medium,3,low,medium,light,low,74-77
europe,high,4,low,low,light,high,78-82
usa,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,high,78-82
japan,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,low,8,medium,medium,regular,medium,78-82
usa,low,8,medium,medium,regular,low,78-82
usa,low,8,medium,medium,regular,low,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,medium,regular,medium,78-82
usa,low,6,medium,medium,regular,medium,78-82
usa,low,8,medium,medium,regular,low,78-82
usa,low,6,medium,medium,regular,low,78-82
usa,low,8,medium,medium,regular,low,78-82
usa,low,8,medium,medium,heavy,medium,78-82
usa,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
japan,low,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,regular,medium,78-82
japan,medium,4,low,low,light,medium,78-82
europe,low,5,low,low,regular,medium,78-82
europe,low,6,low,medium,regular,medium,78-82
europe,medium,4,low,medium,regular,medium,78-82
europe,low,6,low,medium,regular,medium,78-82
europe,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
usa,medium,6,medium,medium,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,medium,4,low,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,medium,regular,medium,78-82
usa,low,8,medium,medium,regular,medium,78-82
usa,low,8,medium,medium,regular,low,78-82
usa,low,8,high,medium,regular,low,78-82
usa,low,8,medium,medium,regular,medium,78-82
usa,low,8,high,medium,heavy,medium,78-82
usa,low,8,high,medium,heavy,medium,78-82
usa,low,8,medium,medium,regular,medium,78-82
usa,low,8,high,medium,regular,low,78-82
europe,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,high,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
europe,medium,5,low,low,regular,high,78-82
usa,medium,8,high,medium,regular,medium,78-82
europe,medium,4,low,low,regular,high,78-82
usa,medium,8,medium,low,regular,high,78-82
usa,high,4,low,low,light,low,78-82
usa,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
europe,high,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,6,low,medium,light,low,78-82
usa,medium,6,low,medium,light,low,78-82
usa,medium,4,low,low,light,low,78-82
europe,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,regular,medium,78-82
usa,medium,4,low,low,regular,high,78-82
usa,low,6,medium,low,regular,medium,78-82
europe,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,medium,4,low,low,regular,medium,78-82
japan,high,4,low,low,light,medium,78-82
europe,high,4,low,low,light,high,78-82
europe,high,4,low,low,light,high,78-82
europe,high,5,low,low,regular,high,78-82
europe,medium,4,low,low,regular,high,78-82
japan,high,4,low,low,light,medium,78-82
europe,high,4,low,high,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
europe,medium,4,low,low,light,medium,78-82
japan,medium,6,low,medium,regular,low,78-82
japan,medium,3,low,low,light,low,78-82
europe,high,4,low,low,light,medium,78-82
usa,medium,4,low,high,regular,medium,78-82
japan,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,6,low,medium,light,low,78-82
usa,medium,4,low,low,light,low,78-82
japan,high,4,low,low,light,medium,78-82
usa,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,high,78-82
japan,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,high,4,low,low,light,medium,78-82
usa,high,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,high,78-82
europe,medium,4,low,low,light,medium,78-82
europe,high,4,low,high,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
europe,medium,4,low,low,regular,high,78-82
europe,medium,6,low,low,regular,high,78-82
japan,medium,6,low,medium,regular,low,78-82
japan,medium,6,low,medium,regular,medium,78-82
usa,medium,6,medium,medium,regular,medium,78-82
usa,medium,8,high,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,low,6,medium,low,regular,medium,78-82
usa,medium,4,low,low,light,high,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,regular,medium,78-82
usa,medium,4,low,high,regular,high,78-82
europe,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
usa,high,4,low,low,light,medium,78-82
usa,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
japan,medium,4,low,low,light,medium,78-82
japan,high,4,low,low,light,medium,78-82
usa,medium,6,low,medium,regular,medium,78-82
usa,high,6,medium,low,regular,medium,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,6,medium,medium,regular,medium,78-82
japan,medium,4,low,low,light,medium,78-82
usa,high,4,low,low,light,low,78-82
usa,medium,4,low,low,regular,medium,78-82
usa,medium,4,low,low,regular,medium,78-82
europe,high,4,low,low,light,high,78-82
usa,medium,4,low,low,light,low,78-82
usa,medium,4,low,low,light,medium,78-82
usa,medium,4,low,low,light,high,78-82
