pclass,survived,sex,sibsp,parch,embarked
2,1,male,1,1,S
2,1,male,1,1,S
2,0,male,0,2,S
2,0,male,0,0,S
2,0,male,1,1,S
2,0,male,0,0,S
2,1,male,0,0,C
2,1,female,0,0,S
2,0,male,0,0,S
2,1,male,0,0,S
2,1,male,0,0,C
2,0,male,0,0,S
2,1,male,0,0,C
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,1,S
2,0,male,0,0,S
2,0,male,0,0,C
2,0,male,0,0,S
2,1,female,0,1,S
2,1,female,0,0,S
2,0,male,0,1,S
2,1,female,0,0,S
2,0,male,0,0,S
2,1,male,0,0,C
2,0,male,0,0,C
2,1,female,1,1,S
2,1,female,1,1,S
2,1,female,0,2,S
2,0,male,0,0,S
2,0,male,1,0,S
2,1,female,3,0,S
2,1,female,0,0,S
2,0,male,0,0,C
2,1,male,1,1,S
2,1,male,1,1,S
2,1,female,2,3,S
2,1,female,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,1,S
2,1,female,0,2,S
2,1,female,0,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,1,female,0,0,Q
2,0,male,0,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,C
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,1,female,0,0,S
2,0,male,1,0,S
2,0,female,1,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,0,male,1,0,S
2,0,male,1,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,1,female,0,0,S
2,1,female,0,0,S
2,0,male,1,0,S
2,1,female,1,0,S
2,1,male,1,1,S
2,1,female,1,1,S
2,1,female,0,2,S
2,1,female,1,2,S
2,1,female,1,2,S
2,0,male,1,2,S
2,1,female,1,2,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,male,0,0,S
2,1,male,0,0,S
2,1,female,0,0,S
2,0,female,0,0,S
3,0,male,0,0,S
3,0,male,0,2,S
3,0,male,1,1,S
3,1,female,1,1,S
3,1,female,0,0,S
3,1,male,0,0,S
3,1,male,0,0,S
3,1,female,0,0,C
3,0,male,0,0,S
3,0,male,0,0,S
3,0,female,1,0,S
3,1,male,0,1,S
3,1,female,0,1,S
3,1,male,0,0,C
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,1,0,S
3,0,male,4,2,S
3,0,female,4,2,S
3,0,female,4,2,S
3,1,female,4,2,S
3,0,female,4,2,S
3,0,female,4,2,S
3,0,female,4,2,S
3,0,male,1,5,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,female,1,5,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,1,0,S
3,0,female,1,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,4,2,S
3,0,male,4,2,S
3,1,male,4,2,S
3,0,male,4,2,S
3,1,female,4,2,S
3,0,male,1,5,S
3,1,male,0,0,S
3,1,female,1,5,S
3,1,female,0,0,C
3,0,male,0,0,C
3,0,male,0,0,S
3,0,female,0,0,C
3,0,male,0,0,C
3,0,male,0,0,S
3,1,female,0,0,C
3,0,male,0,0,C
3,0,male,1,0,S
3,1,female,3,0,S
3,1,female,2,1,C
3,1,female,2,1,C
3,1,female,2,1,C
3,1,female,0,3,C
3,1,female,0,0,S
3,0,male,0,0,C
3,0,male,0,0,S
3,1,male,0,0,C
3,0,female,0,1,C
3,0,female,0,1,C
3,0,female,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,male,0,0,C
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,1,1,C
3,0,female,1,1,C
3,0,male,0,0,C
3,0,female,0,2,C
3,0,female,0,2,Q
3,0,male,1,1,Q
3,0,female,1,1,Q
3,0,male,0,0,S
3,1,female,0,0,Q
3,0,female,0,0,S
3,0,male,1,0,S
3,0,male,1,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,Q
3,1,male,0,0,Q
3,0,male,0,0,Q
3,0,female,0,0,Q
3,0,female,0,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,1,0,C
3,0,female,1,0,C
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,Q
3,0,female,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,Q
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,1,0,C
3,0,male,1,0,C
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,Q
3,0,male,0,0,Q
3,1,female,0,0,Q
3,0,female,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,1,1,S
3,1,male,1,1,S
3,1,female,0,2,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,1,S
3,0,male,0,1,S
3,0,male,0,0,S
3,0,male,0,0,C
3,1,male,0,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,1,female,0,0,Q
3,1,male,0,0,Q
3,0,male,0,2,S
3,0,male,1,1,S
3,0,female,1,1,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,2,0,S
3,0,male,0,0,S
3,0,male,2,0,S
3,0,male,2,0,S
3,0,male,1,0,S
3,1,female,1,0,S
3,1,male,1,0,S
3,1,female,1,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,1,male,1,2,S
3,1,female,1,2,S
3,0,male,1,2,S
3,1,female,1,2,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,male,0,0,Q
3,1,male,0,0,S
3,1,female,0,0,S
3,0,female,0,0,Q
3,1,female,0,0,S
3,0,male,0,0,C
3,0,male,0,0,Q
3,1,male,0,0,S
3,0,male,1,0,S
3,1,female,1,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,male,0,2,C
3,0,male,1,1,C
3,0,male,1,1,C
3,0,male,0,0,S
3,1,female,0,0,S
3,0,male,0,0,C
3,0,male,0,0,S
3,0,male,0,0,Q
3,1,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,Q
3,1,male,0,0,S
3,0,female,2,2,S
3,0,female,2,2,S
3,0,male,0,0,S
3,0,male,2,2,S
3,0,male,1,3,S
3,0,female,1,3,S
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,C
3,0,male,0,0,S
3,1,female,0,0,Q
3,1,female,0,0,Q
3,1,male,0,2,S
3,0,male,1,1,S
3,0,male,0,0,S
3,1,female,1,1,S
3,0,male,0,0,S
3,0,male,5,2,S
3,0,male,5,2,S
3,0,male,5,2,S
3,0,female,5,2,S
3,0,female,5,2,S
3,0,male,5,2,S
3,0,male,1,6,S
3,0,female,1,6,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,2,0,S
3,0,male,2,0,S
3,0,male,0,0,S
3,0,female,0,0,S
3,0,female,0,0,Q
3,0,male,1,0,S
3,0,male,1,0,S
3,0,male,1,0,S
3,1,female,1,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,male,2,0,S
3,0,male,1,0,S
3,0,male,0,0,S
3,1,female,1,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,0,male,0,0,Q
3,0,male,0,0,C
3,1,female,0,0,Q
3,1,male,0,0,S
3,1,male,0,0,S
3,0,female,0,0,Q
3,1,female,0,0,S
3,0,female,0,0,S
3,1,female,0,0,S
3,0,male,0,0,S
3,0,female,0,0,S
3,0,female,0,0,Q
3,1,female,0,1,S
3,1,female,1,1,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,S
3,0,male,0,0,Q
3,1,female,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,C
3,0,male,0,0,S
3,0,female,1,0,S
3,0,female,1,0,S
3,0,male,0,0,S
3,1,male,0,0,C
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,1,0,S
3,1,female,0,0,Q
3,1,male,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,1,1,S
3,1,female,1,1,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,2,S
3,0,male,1,2,S
3,0,female,1,2,S
3,0,male,1,2,S
3,0,female,1,2,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,female,1,0,S
3,0,female,1,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,1,C
3,1,male,0,1,C
3,0,male,0,0,C
3,0,male,0,0,C
3,0,male,0,0,Q
3,0,male,0,0,S
3,1,female,0,0,Q
3,1,female,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,S
3,1,male,0,0,Q
3,0,male,1,0,C
3,0,female,1,0,C
3,0,male,1,0,Q
3,0,male,1,0,Q
3,0,male,0,0,Q
3,0,female,2,0,S
3,0,male,2,0,S
3,1,female,0,2,S
3,1,male,3,1,S
3,1,female,1,1,S
3,0,female,1,1,S
3,0,male,1,1,S
3,0,female,0,2,S
3,0,male,0,0,C
3,1,male,0,0,C
3,0,male,0,0,C
3,0,female,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,S
3,0,male,0,0,Q
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,0,0,C
3,0,male,3,1,S
3,0,female,3,1,S
3,0,female,3,1,S
3,0,female,3,1,S
3,0,female,0,4,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,female,1,0,Q
3,0,male,1,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,S
3,0,female,0,0,S
3,0,male,1,0,S
3,0,female,1,0,S
3,1,male,1,0,S
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,1,0,S
3,0,female,1,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,Q
3,1,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,0,0,C
3,0,female,0,0,Q
3,1,female,0,0,Q
3,0,male,0,0,C
3,0,male,0,0,C
3,0,male,0,0,S
3,1,female,0,0,C
3,0,male,0,0,C
3,1,female,0,0,Q
3,1,male,0,0,Q
3,1,female,2,0,Q
3,1,female,2,0,Q
3,1,male,2,0,Q
3,1,female,0,0,Q
3,0,male,0,0,Q
3,1,female,0,0,Q
3,1,female,0,0,Q
3,0,female,0,0,Q
3,0,male,0,0,Q
3,0,male,1,0,S
3,0,female,1,0,S
3,0,female,0,0,Q
3,0,female,0,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,0,male,0,0,Q
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,Q
3,0,male,0,0,S
3,1,male,0,1,S
3,1,female,0,1,S
3,0,male,0,0,S
3,1,female,1,0,Q
3,0,male,1,0,Q
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,Q
3,1,male,0,0,S
3,1,male,1,1,C
3,1,male,1,1,C
3,1,female,0,2,C
3,1,female,0,0,C
3,0,male,0,0,S
3,1,female,0,0,Q
3,1,female,0,0,Q
3,0,male,0,0,S
3,1,female,1,0,Q
3,1,female,1,0,Q
3,1,female,0,0,Q
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,C
3,1,female,0,2,C
3,1,male,1,1,C
3,1,female,1,1,C
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,female,0,0,Q
3,0,male,0,0,S
3,1,male,1,0,C
3,1,female,1,0,C
3,0,female,0,0,S
3,0,male,0,0,S
3,1,female,0,0,S
3,1,female,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,1,female,0,0,S
3,0,male,0,0,S
3,0,male,1,0,Q
3,0,male,0,0,Q
3,1,female,1,0,Q
3,0,male,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,Q
3,0,male,0,0,S
3,0,female,0,0,Q
3,1,female,0,0,Q
3,1,female,0,0,Q
3,1,female,0,0,S
3,1,male,0,0,Q
3,1,female,0,0,Q
3,1,male,0,1,S
3,0,male,0,0,S
3,0,male,0,1,S
3,0,male,0,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,female,0,0,S
3,0,female,0,0,Q
3,0,male,3,1,S
3,0,male,3,1,S
3,0,female,3,1,S
3,0,female,3,1,S
3,0,female,0,4,S
3,0,male,4,1,S
3,0,male,4,1,S
3,0,male,4,1,S
3,0,male,4,1,S
3,0,male,4,1,S
3,0,female,0,5,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,C
3,0,male,0,0,S
3,0,male,1,1,S
3,0,female,1,1,S
3,0,female,0,2,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,1,male,1,0,S
3,1,male,1,1,C
3,1,female,1,1,C
3,1,female,0,2,C
3,0,female,0,0,Q
3,0,male,0,0,S
3,0,female,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,1,0,S
3,0,female,0,0,S
3,1,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,female,0,0,S
3,0,male,0,0,C
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,0,0,S
3,0,male,4,1,Q
3,0,male,4,1,Q
3,0,male,4,1,Q
3,0,male,4,1,Q
3,0,male,4,1,Q
3,0,female,0,5,Q
3,0,female,0,0,S
3,0,male,0,0,S
3,1,female,0,0,Q
3,0,male,0,0,S
3,0,female,0,0,S
3,0,male,1,0,S
